USERNAME,TEAMID
pvfwxvsi68873,173
rrtcehqk82383,643
ujgnqvks84964,450
otplpbap49758,850
eorlpdvu23107,883
oymwaldv39733,234
klcuatww18161,172
rrgfbdmb61365,36
uhjypsun62830,334
forjwjsy8662,77
tuormkfd75885,794
cyxthhbx29706,2
ypatqmor97302,249
yhxxevnb48686,719
rpdccmvv99941,571
leicwpry6481,560
jnhdfnho66824,938
iiggewlt71466,555
qgkrarqi20589,410
idgnnfkl87006,554
hquacrvr7435,107
echbnhwm63335,864
ucjdtifh32078,247
wtqyngct93018,447
qxelbxja11498,337
vdbberkj66793,748
wugkwcqu66056,930
hvdelxgn94153,671
prwbcvjj94487,478
xptukxrj86715,260
abyygujq85268,2
exjtkypj46690,198
rianmeyi2380,464
enyneuqj12413,327
cwlqiicn44588,990
irwrnojy53018,999
mytjhuja19595,308
ryhjfdao71513,240
msjucrfs92016,100
grfnbubl70162,351
yeohrvfa62103,265
dmciboep56785,825
lsuwnwfo6501,426
bawqqqgm21267,180
kdgtxmii65748,443
fuaswyhp91739,569
hqqxiyqm95198,69
sodcbdnt88143,875
bnvcvhkq4131,341
vsoqjktu26083,290
iulxoquq97163,795
udtupgwj88801,273
imviwaor96174,79
ptgkctpc77232,174
ahyqxhci65916,89
mymlhdwo68029,746
sauplfag88055,326
qgeceicc58673,216
jbkftckj28151,765
cvwivura54972,593
axhkomlp19155,176
rgedivxt61176,414
rgctksrj40511,486
draqhnup65908,169
avodtssu6810,476
dhbmvgbf78059,263
gjnxghwr92454,837
hgsgwsrr55912,450
eloyoopt9808,359
hsrhsxst90378,371
pheyheut26491,824
bgrbccnj47870,965
mstrijla55170,991
rfmnnhfl53117,264
xqbajpqb73914,926
ovevgcxd92351,305
cvfoxklr38212,780
askvkdqx48426,693
yywxoyvk27842,88
mlvwexxb36793,620
ngfecikd30278,552
ojxmttwt96743,14
fgomfpcy783,277
ycyygfom7778,836
ntaxhnhm54391,454
kuxbijdn41980,458
xydtvqhf39402,473
psobsvbi34454,489
ycyijmxa13366,580
safbekmy51953,347
heoytmnu93326,244
iuxrowrj67118,411
wiawrbgl79796,575
simckjoc99586,586
rjyiytgc60361,261
vptskrsy69112,667
gskceanv83527,727
jxpfmlqx16310,991
aijsfwsa55715,403
alsgdkpa85691,473
xncossmc55429,296
skkbgtab33647,271
tembvsgk76885,307
lksaxeru18438,11
fjpsffls12966,81
yvydmqub53765,721
dkvjjqqa62032,521
hpjsfaes58535,337
goqlhuox96797,488
oeymdury15257,964
iytylded63873,611
fykdanmy57757,834
aeirrdgi93728,594
rjhfvsho44868,283
ltuybycx86267,869
gapntcgw40226,891
upmtttwo5177,966
idaoxcdq11773,380
wrmronti55954,497
dboingbf83891,749
vellvmtq46368,238
juhsvyyt24483,615
atsacrlw26639,385
nissvnkm25002,715
wdwksoux85880,695
sskjxobt37446,46
gpaknont37513,885
gnerjtjg64106,175
dcfqljma60112,379
ffxcsqts57539,844
btmuylbo73924,182
ebeqrorv77279,105
dqdoqdyr22918,459
igmjurov66888,880
uxcapwnw1880,163
mncpfayk60714,11
ftocrerl14562,876
eimqtxkf2855,575
bywkilbv74089,903
wlfhnhgn62680,507
isqcyvki60313,513
vtntfiwr61353,308
gcfjfbdt29710,151
vfxwrjvt80923,956
ktitnuxn33166,400
lumqxrka14453,961
xewturmi34850,432
jefxnoiu29298,868
emhuxdqp40271,699
sqmhsqrd58035,416
vqhywkyy36460,672
mlhgcumj2069,6
dfyrwqxd18417,480
ytrwcclv31143,61
navvtmmg26530,439
tqximxbl89368,384
vamoayrt47653,541
vmjghbey72174,636
ftjoqigc39039,212
hqxhcvog22334,596
ybuvyjbr18440,768
jdfqqsaf3810,977
cxeikhbf26999,283
kqsreibb51461,173
ruekxejr11443,807
vyeijuox62019,468
xhsglcxo91542,185
dagiaewn86768,911
yojdsbsu75431,27
kiowtduy10596,287
utugxvgc60751,763
cmwndcuo52971,348
mgyevltu12523,51
pfkkedut6871,737
wnrjglon40152,286
yewafgwu38757,855
ctjqcvxc5672,344
fslsbsug10039,254
eadpyfjr82209,206
irssvemx42957,4
clfisswl48376,618
gggscvyt47709,885
cfkkdpfy47253,455
lvssvdtw46816,180
hkpijhbn61115,61
qjxgwdjf82037,322
deuhlovc52960,416
upllhhrh65416,613
vxiegskr4311,631
nsnuimgq41066,796
mpikjqoa34591,925
tqfthimm56872,275
vuplvcvy22768,937
xtgwieik6786,400
qeyjqnxq63417,962
juxbgalf93037,334
cppugvdq81178,446
ludsghec75436,663
ygyucags95553,878
ipdkpxbr19823,113
rbfaqkui75509,24
talqqidr31469,430
jsajkelh48314,316
xdcnvwfj61140,727
kkcfbipb30035,76
coajkjue854,380
xmcgpata26699,189
kqrbywte44531,863
sycbdccd14784,768
dwiahuew75006,735
jyweqtfb46668,341
nolrnclj52266,379
ejoufxgv43179,101
yvbhepqd21216,981
hydsbwie28386,783
cxgtcbeb26349,662
vnysgyaw34690,837
flvdlckw20574,665
rnuqyajm55589,622
bujorxde80926,948
pkbrxuip52001,530
ctdssqal99543,600
qablunvn24478,69
rpjssomi716,37
exoqqmis47932,165
onohdhkr46026,12
ohiokvfh28393,147
kaufhooy28815,99
nfgeaeqs81365,157
tydoebpg26127,481
kbmfmmuo51264,989
usmvwrom72491,503
xswuolny87284,725
mhbgkodr42322,720
jcdmcdoj66798,840
jatvmhrt80509,873
yctaaqiw10642,875
rhdkocvi99551,513
jcksosib65509,158
gdrlinjk70435,807
beejlshm38648,520
ygrchpsv69643,383
lipliumx57329,431
acskumre9446,946
lqmopgvj91490,468
huexsdrc70624,803
rhtqagbu21581,597
ildebaua77217,343
nxobdosi55953,300
tnsfsdys1564,16
akuyqudr1806,187
ccoumiqf64321,313
wxpdwnkl72147,377
oymjxqwb99181,785
cscodnkj67803,577
fnsvevhu84733,218
qhfntdho7494,497
xqbemack7094,625
omwfcryx91902,978
mnorrsxd5896,869
geqwsaev78424,934
ugdprcfh73814,363
bixnqxam11923,41
cxsgoycc24871,486
giwvlitq3959,888
hrhdkwbt20517,51
lnpslflu78010,200
hicfpadb44151,415
udojrjjn1332,575
lgixmxjg44438,592
chfchlpf5663,145
qjmhytll25610,37
aimkgsul58199,480
yvbbfshv49221,607
nsswhaka82126,42
mvhoiicv25954,561
qebesent41352,518
kuigsxlv17829,389
qwfhjwoo98521,382
omqtxidx42565,647
etbfehcg26554,110
ashaeloc69404,993
bsclrfpt4911,597
glcygjvp22884,45
ejgowcqj59349,422
kpnbnhns65900,783
fcrdksvg10602,806
ntfhykqt15932,692
iqpqjrhc81738,281
xjcllnlj59540,5
swpyqrok76887,330
cnqqpdwp69707,964
fhhkapug84095,511
hklpgdky97090,200
ycsotqgq74630,860
shbvjctq2682,15
heraogow67577,707
jeeqlisd21993,523
ltddsnjg3777,386
hsidljcg3080,408
yomfqlqi26459,678
ivhqfbsw40423,283
jkwofrqr97178,295
udlpckwi34393,460
wimrbull85203,92
wvqfgbxd42217,281
hgjkriiw55983,243
pyhjctcy50684,15
gogrngte50241,53
dkurbuls92651,743
dxmgcbqa88877,689
wlqmkjvv50219,564
fdtjssyq60946,624
dmoavlnk36149,933
yrimjrrm52239,225
ljxodqji20805,925
iewwcpxw49699,552
mctarsqf78079,753
wkcddrjd13931,67
jivucges55467,906
omwtvvtj45909,693
xaicahpa35223,894
etncmwom87337,352
tgtyqakj42127,653
lyprukes83569,894
qnyagvbp71501,369
elvxafba8647,109
jhhukibu55358,621
kdjqihpp97150,336
vycpgwas59447,471
wunsxskr53986,37
gojejfdj4232,364
xldegnwc15824,591
keleisbk33866,494
nxontirl19195,468
xyigifff14375,571
fgvosvih90413,899
gcqsicgl28351,776
pfnygjah9011,141
qdgfkrmc48086,65
wsakcask13132,414
sbenhxod10918,870
fasuuplk8466,676
bkyunodc90812,677
fhbkcnls14718,428
wxwpkspe59690,931
viofdlqt33323,864
vktbqnft57352,207
kenurlkn48810,825
tmbwlcin44623,610
tpanbnsd82039,156
gkkhgcnq96910,911
rioenbls98365,272
wcabwklj6287,47
nneepkcq36427,990
cmckwcvr99687,190
xtckhihw63605,890
rogfxaoi47699,761
tyqkhbbj83378,819
jceomkvk34241,449
ukefwcxg16758,424
pmpchotb80484,502
grohsxcs54786,980
qwtaiwtk68709,286
puvqyorc32852,157
vsbttktc90796,407
pdvwjycq8098,776
gpwrhxqb54517,483
cabkfmrl31700,70
wmntilso16719,989
xryuvvhp94493,409
gfewacok76249,468
ltupmwhm90560,11
bgrrbbbj52627,807
srombdvv87351,632
eoyeltod95834,196
ijagvqnh12492,868
dmqaettc21830,863
dbpaautg67900,254
fqutbwvj44991,651
qjcwpecy59932,2
iglfbvfx83204,59
rllatugy90467,884
jwqlvoat44180,390
xmwahjly88529,451
gjwuecwl63344,262
lfhnqykv74652,526
htsuufvc51549,841
sbncryap40638,644
xwlpslhu29621,812
klgtoros96599,922
vugvcexo70600,282
hifmsthn83686,648
pqfyviih45632,523
ccmpiqeo76630,756
evttsxgx69865,699
mktkrfjd2692,185
efbxxofr74973,507
ffhxwtkg85599,115
xiauxxvw93367,960
wvaxsrtx82185,931
kxnmvcit23985,376
bjcmimxa17127,819
uepsupoc65010,7
ofbvalkx36898,854
kdtadwil40108,649
korwybve98015,509
sxgjljqn15900,990
dbbniylr76228,582
axwvioqb6413,423
drhqxclc34154,619
maasukko87509,551
dntmvhcv12126,76
qpsfjvwr98261,623
hnjvkvue14175,611
vkofseyc89888,693
fnpxrjwp45198,85
jeminxre93622,409
omjksblq17941,105
lypvymel17825,916
bmunnaku88972,165
rutmjwdt52448,539
wunfdsgt2505,775
gcknjyuf53830,581
qwbgcuha16587,241
vnrtfhlp6642,772
fqmtflup62427,151
norcnwyq11437,678
ellnciyy40326,985
hdabcaif26093,614
lnstulsc86932,691
oxtdivxi97013,445
qrpjqund58355,502
ssyostyx52444,980
tjdmpylx61105,772
kadpcdht94190,526
whnrsxmc28392,84
oyxlpleb16098,588
ntohognu83414,458
jmnsplri98762,614
upkjkwrn53284,32
xhjyobwy77495,151
tqmiawjs96814,193
vropnoup58084,774
nxgspege88331,803
aaspquhm59181,679
fimlxlgv55639,774
qylludrp93258,868
rbtfybvq4624,987
hytvkjwu59012,464
dyxvtguc75756,266
cwucmlgs7507,800
ssxobwmr68785,859
bcyicuss60954,566
jxhouokw39870,703
cxsscvyb9622,507
qrcochei23532,524
mjcfpeik84374,850
jdclouvw55705,731
hcldvekn5631,884
dcgtopnj78745,895
mygwgppa37793,916
xnpkyiys88916,554
wajxvtxv37385,96
oupxctvo48178,20
avlajayq68198,467
vlikxrup18262,827
yjcokeyk71559,961
jxvvdmsx91232,505
bfkgnvcw21807,940
ywxildxd85192,356
hisylbux67473,348
vhrjualk44517,31
yghgmkgl57425,467
qskrcbli35220,754
xwmwlnyq77528,782
cvbglofw53566,237
cfhdnysr78482,483
jhswlsoo73078,421
paikaihe58373,688
kxpwojgn38510,455
unkbapkv74311,541
ybgphnnr79304,475
xugvmgwc96718,988
yarrkvky54359,61
mymrxnma87447,157
vpmmdbfs60210,518
mlsbtvhp77925,961
vvqeljmy30193,437
poriwbsg47154,752
omirnvrp28727,370
bumucevf51304,592
gsjmodus96996,814
uglabocq35916,1000
tqlsewej38089,134
tvblvmyy70305,813
gcnlomjg39260,478
yycwcnet79197,155
yigyinht16127,240
wuoramew11115,370
yltcvnxb29804,115
gnhkbglo75168,175
jmqqbilu71728,337
anvxcqux98544,220
vinvufbs32464,279
cfgwafxp5016,700
otuqqyrs71534,157
lawmyfvl92290,668
jfqhtmaa83019,256
tkextjkt89802,208
dvauhmys8437,742
rubtfhsd12327,689
hxnjjobg82356,807
elqumqon85227,918
rvisfvqi9548,656
efgbtcvh6831,109
pcfgsyee62206,564
iutwdnnc29984,248
rijtqhhv55807,60
djidodyp91280,609
itghevmx7971,74
fvvdgeor88830,898
tthspoku10544,783
bttnkbkv12131,721
doimgfnx48350,734
vtmidnba56523,879
dkxouhan78898,762
kshtshnx13590,272
vbhjtlgd46909,150
tlqmnouf13462,44
wpmncsdv46125,487
ffembsqy11104,966
jfljwtif54702,637
pyhtkprl48917,953
wmpgdqff66273,327
yuxagfqh99978,41
vvgspeuk9388,895
vlfopquv93575,119
rmtvqftw98800,860
nmfacfie52630,189
osblpfhb90116,99
jjjuajhw26157,969
phgixped15597,597
wwihttxl83183,195
mbacsoue63377,908
gxpauunr46552,75
ffqbwsud25395,721
licxatdo82503,966
nanniukc79084,154
hjuylsuq30470,478
slnhshca87952,722
jeclygkt52737,916
qxwmplif2058,207
amwgiujl6760,166
mqlryprm15208,56
sejhjymx94513,870
jgcinlkk88512,272
lucbjcuc24088,29
qieelgxp81695,211
lplkgfqe25167,954
mwfkqxsd42343,127
nayworgx97113,849
pplmjjkj91761,799
bybgktvf32176,146
nosiwdks10992,51
oqvnfrgu48692,150
vkbcjwpw75127,570
pyabnhjg89487,438
vonllwbb5450,942
cfruhosn89115,967
rwrxafqf9083,459
xrsaihjs90835,793
nibdrdli54704,891
stsedher97984,859
vcsqalmv88471,51
phrecdbv78320,352
yhkxpdqm28764,706
kghhgtks378,720
cvhxwaiu91843,103
qyhoakgu69927,559
uhjtjlwx90235,138
riwjshnk52772,219
cqrfdxpb14971,985
jsullruk14222,176
aqbvvkxy59638,826
veuxqyae80097,920
fpwpkmdm69829,180
owvnjwfq25963,346
higvwhme3553,197
vfgibbks29537,418
htycnsuf71012,221
ypgxrweq81288,180
ngjobkkj80729,846
bamyefve32599,30
krwkobjk56498,692
ferhebbv75533,524
ssigjjpq6100,123
irapmpjo91178,891
inillume15743,165
wgfdrfpl72576,880
muiokffu16892,963
cbxldavi28501,489
ecgcebxu21621,219
hujgsare99128,653
kunpadsn51216,180
bnqdkfeg71280,978
oumchjdc89212,905
tifxugtl62388,160
bbhtnlwv73704,759
qqqcferg53964,824
nbkcbxrr8051,286
bgcdlnra94877,123
iitcyihm7477,875
mtfuonnf60937,609
qgoqwuwe20374,945
cqaukcan54318,544
jxdbdoya57982,661
mlnrklyj47891,45
swgwmsqe42811,576
qrmosxji33108,196
gocsfify38181,967
xbjioawa8493,535
qhrvjusi53565,36
wmwojokb54590,136
ppbwtsmm29386,620
xaxjkrfa76746,825
dkravrke92223,501
qhdlajgk61056,959
qjicwhkh38184,941
mikbykwa82162,585
hsbjcadg44714,592
sxxospok20710,717
gggaqfqp34009,513
jettcrmr97469,965
yxvjemkd10924,606
mgjvwyko8006,696
ccuxptmt76725,465
lbhafmtl45786,463
scytwtui76177,224
sestwtqi35508,504
mkddvlbc69659,770
gatdbnju58228,649
nvohotyc35472,336
jmkannlh40769,153
xfucqnmm97290,311
tlcbaapi97169,582
ljtweriu41037,852
jbljtsmp56823,68
gfjccklg32569,722
mvrpukdg87200,975
yskatjdu71851,635
jgswucgc19825,235
lwonigjk23883,254
jcydlnac19305,425
ktmlqlhn46465,927
kphepjlb92238,911
rktxhwyh95822,172
ubysiyhf18939,279
mktbrlto27056,907
fnqhjtpj5361,594
fijjqhfr24178,439
adltdali94840,949
lepkgbuh86226,248
acbpftfh49288,202
cxhmeptr69465,686
ocucdefa8843,743
ywhgjkpf34892,815
ddgcgtmh64244,637
moovffay79055,727
tetlxlna33069,524
ecllcvkj32224,872
jahupwke11384,183
qifcqook92327,114
wfpkynxw85540,782
pmafpkhf26061,433
sajubtte27014,442
sywcrwhu9002,505
obbadopx59994,900
ddtwqmgo95336,630
juwabggo88488,720
ohkxydwi5180,824
nfypeejy91131,725
pnocpjuo92095,241
smpcoiry45305,86
jbmwffet6914,481
glwukceq21227,718
iipvukxl5306,732
aaccdtas93966,523
llhqihva55948,165
bhofkprv59117,278
reueuiev93689,472
aomcmgur99995,878
wawsjyln27811,936
okqrlfxm47684,48
tcaxvpll59820,973
hqalhhto96065,531
vbohkxni86274,652
rmxeyirb80597,264
dfnibiyc62998,304
aqnheshd9120,9
iemvmxal84960,962
cjvjjmgd34556,470
wqhvldpe92687,42
uqtlbrag95385,944
kufrxxdm49783,374
lwdpttss8055,163
jmhsjgaj50231,403
gmfyprlv86816,106
foeyprnc2863,166
idaaywxp82510,185
ogrldywf11113,420
rwcehdhy77343,423
dkgrxale12097,120
ewodbjkh47036,926
bnwnkviu64279,308
lusetdwj2386,199
qkgidjcv76517,351
dgbbgcaw52477,660
fgdnhkrk52195,381
nrqwedjs90328,956
hksoliow82189,732
rcreetnx86110,576
hrexvutm57397,167
muxubgpf89514,602
enmwcwcl87853,662
lkiaakle82865,317
qvlemofm8746,587
osiukcem98922,868
eaqbjkbs25989,183
mgqsbhfy14119,101
fqvoyjon4341,325
dwbchulo56349,193
kvvkgsmw28293,712
bvbwnjff19840,742
olnyswuw73572,786
nyfsjjyn62759,510
pvrisqgl10825,869
dbkrwfol75666,121
dsackrre25227,248
appimokn45631,618
pnrxhjkn78205,180
hachjucb10399,946
ecknxbla53926,103
yekncdbl90824,91
pijxjyek32120,635
lpufihhj14785,849
vbbafxsu2918,308
aickobnm95373,895
upcieogn93145,377
ersvpaeo8547,147
vkeqaapv4153,430
retdsgvg20828,183
qcyrlvud71549,11
lcuwcrcn55594,833
ktofcsiv44270,908
jpmgacif49673,931
ptnkriih46247,290
xmuyjtwg44088,600
jbgmnydq27956,415
tsmgmryl74216,379
saixacxn36752,186
mmyipppt72032,987
ksarinmb35774,453
uxfqihub70492,453
muvaaoqb77937,595
klfhedwk4638,946
qvwcuiag99801,546
vjylbwjs36722,616
qmnjbfky32707,186
pncvegvs94417,401
umqvrctx42916,676
udiafdjj99107,843
buvhqgfu1594,141
ripwawfx79953,616
cpgclvex55286,833
csxcxbrq13792,651
xfmgxtip14881,792
lueweabd4492,442
umfamsxr4300,805
wvtuqqgh18416,387
dwvjjxoc16328,415
lmqesmjq19990,753
dcyaowgm873,594
oagjfjvo11874,205
xmqgdump73769,672
ddcpraww68273,638
lngrphey69232,81
uycdorfg65528,433
ptcftnhf76172,472
uymwaten54935,176
lyvurwmi92358,826
tghdlldn94968,264
ggpweosm1561,235
fkanucqe56722,843
cmleddpf30117,122
sukotqbv44814,962
uxrtovug66211,836
mrrpdudk29066,883
qoqylngk33029,689
kwcvoarh66514,37
vgrewxfn89658,710
wfxqfjmi4230,197
itkqhvhp98301,637
owcixwii91109,61
xftkaghi34816,885
wsrviprw96520,581
pvgkmqfm40532,572
sspoxtmk26714,81
txqbesul8700,949
lgwjivny55086,362
tnfqifhc74689,983
farcijcj33488,816
kaxrthtn32976,194
ndiorktr30857,761
rbynrxos33130,272
pjmgepft55041,79
fehxnicx19518,450
wmtdgfrj47997,546
pglysopr64182,78
milvxwol9504,112
igngcvsm10187,361
avuyepof96865,793
ejlnoddb84827,756
weqpybdr68665,784
oularmcs66228,103
xulvppxi88133,814
qcacekjn84117,151
sskygfmy79571,836
kynpnqad16791,803
sjtgahtq35617,578
sjrdjpwf97,34
ymfxfihw5648,618
uuwmsnsu791,159
stefgrwx57351,183
meicerns17284,847
ujisgkvj92128,4
tcmkhpau63170,22
vishmxcf12276,210
hqprggaj57100,617
agjfcyvn83828,436
ofgojxce88932,926
lipmdjwn12254,1000
miyyjopn58521,179
wdwcuxkn48611,283
stybhncq85544,848
discbhsr76690,198
csbbcbmg70775,86
sgtnlbde85291,948
fyillkjt48287,676
tnxkgnfl19945,109
lebqbjeb6172,826
srdevkot19506,436
ptucloyv68237,152
jkcuvptf87323,701
xerewbxw24473,245
ckwfjbln15823,298
dsvvoayh67671,290
pijtqqcg82049,300
owbvbwgf46804,277
xborjgxx60052,167
qlwfwkis72766,529
jruqfsrj47383,315
bnmggjyr20965,385
txsxjkjp89866,309
qykrhyri58197,113
synyayrt96397,545
vbbgkpfj84974,327
xsrlopkk77155,887
vvfgfwkd23547,462
rraxjloa4493,887
jgwifgjs2665,132
rxolxowt91295,886
palwdkoq86058,537
eclxuwkm6355,519
ltpvgiuw66333,416
byafkbhy95972,877
yfwkpbyr96,448
vgwriolx62716,863
otgsncly90958,406
cfvyxkkg58853,76
nujnjoxl36938,810
ltmoicjg88539,904
cojxovaw45426,321
ununncso77147,373
wyfmcdgt86120,606
vwgkiwoh58043,676
qyhxuggw94510,966
fdlvoeua47604,291
vkgynnyh61903,558
furvpprw28225,983
qpgxmaex47414,690
rltctmis34759,52
ifxkofey25132,253
glmmpjqr46203,668
nnrjohgr36848,63
pbajmttx15507,194
hwhhlimf55253,542
psbvbdhw32347,10
wtxywgmg73927,928
yygrrgtp4005,439
cndlrwkg32432,951
sciqtjnv53750,43
uqeexqii53148,682
ylftsiwg85112,739
hgvtiuee13747,124
vagxxglk30935,880
chyaypwo3113,929
ktkltarp9902,710
nwxaatxv14311,531
dfxrlvhf41836,360
drafxtng6099,885
pstdyasb31526,874
rvrmjldy27364,969
covvxxvy15982,568
kohodirw33739,153
rolxgxxr85921,419
wjbxkdfc43248,587
fslbyeox32995,61
clfcnyyi70639,757
rbpfhgfw44535,406
xioxmgjy52200,461
nicmpxrm68345,861
coxhrfoo23637,557
oaedwmca93492,623
oaeiykkq40442,946
oqriatbo50686,528
lfmxaaov38488,436
audkvaot17338,523
iwgpnmqv14641,343
ciaugexm22859,881
dsvdqpdh72015,867
crykfbne91197,930
vtaansll14260,601
peyagssb22049,186
qotchsqs91072,760
pbnolhyh9578,479
lsrdvmis96870,83
xrmslfqu20607,878
oercpgwu96202,703
binnalot5139,944
anyeymbv5765,633
vyrxpqmh92911,128
orstnpyx92109,990
qqfeftcd36699,937
avhnxehn54860,461
gngokipp99852,825
xxobwscv52132,46
tktenklg49092,630
oxcqhfcr90945,589
qorxbodv6517,788
ldqrmtqy49098,150
kevmdkgg34122,473
putxavvl17325,872
dpolpsgo74434,283
curqduqd49540,561
ytlorjkm45460,82
cvmqpacg89310,841
wrdgjgxo94395,140
dgaeragt94097,451
swpreuwy46889,740
klencvrv16312,868
rpnuonkv50195,63
mgoaolay10704,255
yhoyacrr96333,210
omiypboi29271,422
avndfxdj30633,934
uahqtohb33375,322
tlxsqpfa94999,793
dabulumm99936,403
hiigdvbn29163,169
vajqurtf23626,999
rnxuwsfp54973,827
wtxpihvf20072,821
jpoehwcc98729,473
imxkyfrx16594,530
kwqofimh63583,71
iumncuaw76319,315
ekcyipcx51683,521
brhpnfgf39508,383
ehgiwvxh48005,654
ncwdhtob80505,267
tsdmddxb21539,417
kfvdeqnl74706,906
jisoaxag69137,545
phocrkfn39354,524
atpibmlb26778,971
idgnqqyu64064,425
wbkhgedv97582,729
uqbwcrgo74315,970
ffnivvnx3923,127
uhdlqmqs77524,164
pahigaiy50632,522
qybifnrt25906,457
lllepaos99635,101
rpcnicqo93060,629
kjrfrouy94061,733
mqqbmtxn1883,849
xhxojham38545,44
pjmqlbsg59758,316
aucohauk36231,605
ygyuppot54927,188
hupsiwbv7856,304
twvahsmw42051,888
elalucnc69319,720
rgkbrpam98855,222
yiscjhdj24280,598
nfcvsbxi66730,191
gktqmdue35290,326
rsiyftmw98184,812
kfnjwjjt74899,655
yaxurapd20354,737
bjbinqvs20208,761
djmnuebp91445,972
svwmiqhp47598,162
ujkavoar69082,545
egdrswdn5948,926
vddiaahu32265,530
pyhvcvhg91970,62
nlhsanhs98795,449
tbgdvdlx32250,994
urayywlv58252,689
xdfegdea77112,532
yxxuocqe96536,272
fgfmgsqt47839,800
ipcrimhj22764,965
maruiwgs37222,204
obidxmww22135,483
puhkmtdw54247,592
lakjtxro48648,280
asnmkduh20535,445
nnchgdbr40791,215
lalhxmex70525,106
ryxpmowy89619,196
tihncrum83334,759
jqxqwnlm15130,781
cmydhoni72807,131
wwkgrree8042,554
unkgkvik94782,637
werojpim77752,65
qrcttokw86864,27
dotpdtil4570,19
ekvqtblu42894,408
souerqub33041,407
obymtjcb37402,875
mdfofkhv59438,280
